method,class,corr_fro_delta,energy_frac_l1,real_energy_json,method_energy_json
llm,sharp,0.389841,0.010075,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.058399544756203264,0.891417670211526,0.04286952719184368,0.004441723720744143,0.001096388218100282,0.0017751459557747845]"
llm,worn,0.468218,0.012209,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.05999929281330894,0.9211705415164055,0.014360197055649688,0.0018298513361165126,0.0010600573295970954,0.0015800599829246822]"
llm,severe,0.265535,0.011439,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.059680526068861706,0.9284578576115571,0.008974768283632166,0.0011138662766008167,0.0007558392677896265,0.0010171424992940958]"
rule,sharp,0.474385,0.009921,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05840908924972196,0.8916751518115237,0.042420926628483235,0.004397977751982102,0.0011149279632634529,0.0017908627938041642]"
rule,worn,0.328822,0.012130,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.06026646149814471,0.9211450868447726,0.014117247547146224,0.001788624311808862,0.0010593831537305583,0.0015758716990304832]"
rule,severe,0.277890,0.010742,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.06096485550671164,0.9273982966018113,0.008928444924952986,0.001110584775776298,0.0007587424806861914,0.0010117552961794256]"
random_open_loop,sharp,1.380929,0.628348,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.3373024014811988,0.5825067678120868,0.03079556255789395,0.015489700570768417,0.010325219053515923,0.01997032818580305]"
random_open_loop,worn,1.176031,0.042421,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.04505909906822958,0.9038058922950507,0.006499437481221879,0.005481068864746426,0.0013878367799707992,0.011832170859479246]"
random_open_loop,severe,1.004501,0.043534,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.07298686302744464,0.9009327642715383,0.005638795769389308,0.0033010177136273996,0.00816521660691553,0.0021243075112823847]"
noise_aug,sharp,0.275311,0.039449,"[0.058475150896723574,0.8836245957330275,0.0411365502458906,0.0048482994762972876,0.0010649404708939396,0.0018104221245952197]","[0.05911905274534024,0.9042325603271208,0.02595077928206186,0.006405934031281268,0.001406088015170379,0.002923377747306031]"
noise_aug,worn,0.302352,0.006355,"[0.06006072776108062,0.9114911181310421,0.012033690373050963,0.0018328182819172412,0.0010050074556863077,0.0016637535790670114]","[0.05907223957929521,0.9113205144312846,0.01539422781576967,0.0032746573394951345,0.0010073468032598498,0.002054501296911167]"
noise_aug,severe,0.119933,0.008250,"[0.06011768484788563,0.9188603200288178,0.008088100821036035,0.0010628536029542598,0.0009498423104422745,0.001289437815412115]","[0.06558312837982522,0.918753820183378,0.005950231645400955,0.0012635264181353949,0.0008957867862324457,0.001004129326828455]"
