method,n_real,rows,acc_mean,acc_std,macro_f1_mean,macro_f1_std,f1_sharp_mean,f1_sharp_std,f1_worn_mean,f1_worn_std,f1_severe_mean,f1_severe_std
llm,2,5,0.5765,0.0615,0.5519,0.0746,0.6941,0.0497,0.2866,0.1510,0.6749,0.0421
llm,5,5,0.5700,0.0444,0.5587,0.0459,0.7055,0.0389,0.3751,0.0666,0.5955,0.0772
llm,10,5,0.5861,0.0461,0.5742,0.0502,0.7352,0.0255,0.3632,0.0842,0.6244,0.1055
noise_aug,2,5,0.5471,0.0349,0.5275,0.0576,0.6138,0.1022,0.3282,0.1714,0.6405,0.0465
noise_aug,5,5,0.5054,0.0687,0.4834,0.0711,0.6966,0.0706,0.3253,0.1428,0.4284,0.1774
noise_aug,10,5,0.5497,0.0967,0.5373,0.1107,0.7382,0.0409,0.3663,0.1867,0.5075,0.2030
random_open_loop,2,5,0.4272,0.0552,0.3769,0.0492,0.5632,0.0252,0.0693,0.0806,0.4982,0.1343
random_open_loop,5,5,0.3610,0.0259,0.3216,0.0244,0.5976,0.0128,0.1445,0.1531,0.2226,0.1469
random_open_loop,10,5,0.4631,0.0650,0.4241,0.0614,0.6584,0.0401,0.1441,0.0914,0.4698,0.1364
real_only,2,5,0.4519,0.1090,0.3734,0.1247,0.3745,0.3355,0.1649,0.2785,0.5808,0.1320
real_only,5,5,0.4155,0.1257,0.3651,0.1243,0.4810,0.2766,0.2356,0.1443,0.3788,0.2872
real_only,10,5,0.4706,0.0820,0.4434,0.0737,0.5482,0.1910,0.3997,0.1315,0.3822,0.2176
rule,2,5,0.5775,0.0513,0.5530,0.0621,0.6897,0.0458,0.2841,0.1281,0.6853,0.0312
rule,5,5,0.5770,0.0499,0.5669,0.0546,0.7077,0.0369,0.3873,0.0872,0.6057,0.0836
rule,10,5,0.5866,0.0447,0.5743,0.0471,0.7354,0.0241,0.3625,0.0753,0.6251,0.1041
