method,n_real,class,mean_f1,std_f1
llm,2,degradation,0.771225,0.087572
llm,2,failure,0.224191,0.198606
llm,2,healthy,0.760607,0.053723
llm,5,degradation,0.741815,0.056699
llm,5,failure,0.20519,0.184273
llm,5,healthy,0.777755,0.056146
llm,10,degradation,0.761586,0.062214
llm,10,failure,0.271322,0.16783
llm,10,healthy,0.78684,0.086084
noise_aug,2,degradation,0.512867,0.22469
noise_aug,2,failure,0.253133,0.135722
noise_aug,2,healthy,0.606378,0.126749
noise_aug,5,degradation,0.491201,0.11338
noise_aug,5,failure,0.231225,0.074707
noise_aug,5,healthy,0.699142,0.062888
noise_aug,10,degradation,0.624981,0.161502
noise_aug,10,failure,0.297541,0.127691
noise_aug,10,healthy,0.745749,0.118621
random_open_loop,2,degradation,0.487727,0.128476
random_open_loop,2,failure,0.181717,0.073479
random_open_loop,2,healthy,0.544975,0.223619
random_open_loop,5,degradation,0.540216,0.04015
random_open_loop,5,failure,0.190319,0.010592
random_open_loop,5,healthy,0.466402,0.177539
random_open_loop,10,degradation,0.426266,0.157515
random_open_loop,10,failure,0.192863,0.025818
random_open_loop,10,healthy,0.681455,0.10131
real_only,2,degradation,0.478234,0.315675
real_only,2,failure,0.213788,0.120947
real_only,2,healthy,0.497296,0.214418
real_only,5,degradation,0.389817,0.187203
real_only,5,failure,0.248238,0.116423
real_only,5,healthy,0.651805,0.087814
real_only,10,degradation,0.44541,0.196732
real_only,10,failure,0.236386,0.086888
real_only,10,healthy,0.725357,0.07813
rule,2,degradation,0.779944,0.083036
rule,2,failure,0.225438,0.200256
rule,2,healthy,0.761738,0.060117
rule,5,degradation,0.7332,0.057002
rule,5,failure,0.16256,0.16171
rule,5,healthy,0.782167,0.051031
rule,10,degradation,0.762982,0.053149
rule,10,failure,0.276376,0.173815
rule,10,healthy,0.789095,0.086576
