n_real,method,seeds,mean_acc,mean_macro_f1,n_syn_values
5,llm_full,10,0.62976,0.67286,152;152;152;152;152;152;152;152;152;152
5,rule,10,0.57255,0.61368,152;152;152;152;152;152;152;152;152;152
5,noise,10,0.5134,0.54108,152;152;152;152;152;152;152;152;152;152
5,real_only,10,0.26275,0.12308000000000001,0;0;0;0;0;0;0;0;0;0
10,llm_full,10,0.62515,0.67252,152;152;152;152;152;152;152;152;152;152
10,rule,10,0.59347,0.6404299999999999,152;152;152;152;152;152;152;152;152;152
10,noise,10,0.57222,0.61196,152;152;152;152;152;152;152;152;152;152
10,real_only,10,0.32223,0.25402,0;0;0;0;0;0;0;0;0;0
25,llm_full,20,0.666825,0.703295,80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
25,rule,20,0.642975,0.68028,80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
25,noise,20,0.62451,0.64966,80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
25,real_only,20,0.501315,0.50795,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
