n_real,baseline,v2_mean,other_mean,delta,p_wilcoxon,q_bh_all_baselines,significant_at_fdr_0_05
10,breeze_k0,0.78795,0.7134874999999999,0.0744625000000001,0.0078125,0.0328125,True
10,breeze_k1,0.78795,0.732725,0.05522500000000008,0.0546875,0.12088815789473684,False
10,breeze_k2,0.78795,0.7196,0.06835000000000002,0.0078125,0.0328125,True
10,breeze_k3,0.78795,0.7283,0.05965000000000009,0.015625,0.04375,True
10,envelope_only,0.78795,0.7964,-0.008449999999999958,0.2109375,0.328125,False
10,gan,0.78795,0.7179125,0.07003750000000009,0.109375,0.19972826086956522,False
10,gan_fs,0.78795,0.7109,0.07705000000000006,0.015625,0.04375,True
10,noise_aug,0.78795,0.6991875,0.08876250000000008,0.0078125,0.0328125,True
10,open_loop_basic,0.78795,0.3971,0.39085000000000003,0.0078125,0.0328125,True
10,open_loop_phys,0.78795,0.7833874999999999,0.004562500000000136,0.84375,0.864329268292683,False
10,real_only,0.78795,0.64465,0.1433000000000001,0.0078125,0.0328125,True
10,stats_only,0.78795,0.7195875,0.06836249999999999,0.0078125,0.0328125,True
10,vae,0.78795,0.6820625,0.10588750000000002,0.0390625,0.09650735294117647,False
10,vae_fs,0.78795,0.6298125,0.15813750000000004,0.0078125,0.0328125,True
25,breeze_k0,0.8082125,0.7999,0.008312499999999945,0.640625,0.7271959459459459,False
25,breeze_k1,0.8082125,0.80015,0.008062499999999972,0.484375,0.6164772727272727,False
25,breeze_k2,0.8082125,0.7772874999999999,0.03092500000000009,0.015625,0.04375,True
25,breeze_k3,0.8082125,0.7844375,0.02377499999999999,0.0546875,0.12088815789473684,False
25,envelope_only,0.8082125,0.8179625,-0.009750000000000036,0.4609375,0.6164772727272727,False
25,gan,0.8082125,0.7850999999999999,0.02311250000000009,0.3125,0.4525862068965517,False
25,gan_fs,0.8082125,0.75545,0.052762500000000045,0.078125,0.15625,False
25,noise_aug,0.8082125,0.8225125,-0.01429999999999998,0.3828125,0.5359375,False
25,open_loop_basic,0.8082125,0.65215,0.1560625,0.0078125,0.0328125,True
25,open_loop_phys,0.8082125,0.8186125,-0.010399999999999965,0.7421875,0.8203125,False
25,real_only,0.8082125,0.7370000000000001,0.0712124999999999,0.015625,0.04375,True
25,stats_only,0.8082125,0.77535,0.03286250000000002,0.1015625,0.19389204545454544,False
25,vae,0.8082125,0.760525,0.047687499999999994,0.015625,0.04375,True
25,vae_fs,0.8082125,0.754675,0.053537500000000016,0.1484375,0.249375,False
50,breeze_k0,0.8456125,0.8323875000000001,0.013224999999999931,0.4765625,0.6164772727272727,False
50,breeze_k1,0.8456125,0.8223875,0.02322499999999994,0.640625,0.7271959459459459,False
50,breeze_k2,0.8456125,0.8380875000000001,0.007524999999999893,0.3125,0.4525862068965517,False
50,breeze_k3,0.8456125,0.831725,0.013887499999999942,0.0390625,0.09650735294117647,False
50,envelope_only,0.8456125,0.8439375,0.001674999999999982,0.84375,0.864329268292683,False
50,gan,0.8456125,0.8483624999999999,-0.002749999999999919,0.640625,0.7271959459459459,False
50,gan_fs,0.8456125,0.845375,0.0002375000000000016,0.96875,0.96875,False
50,noise_aug,0.8456125,0.8616250000000001,-0.016012500000000096,0.1484375,0.249375,False
50,open_loop_basic,0.8456125,0.6415,0.20411250000000003,0.0078125,0.0328125,True
50,open_loop_phys,0.8456125,0.8498000000000001,-0.004187500000000122,0.546875,0.6755514705882353,False
50,real_only,0.8456125,0.7885875,0.05702499999999999,0.0078125,0.0328125,True
50,stats_only,0.8456125,0.8268,0.01881250000000001,0.1953125,0.3155048076923077,False
50,vae,0.8456125,0.83135,0.014262499999999956,0.84375,0.864329268292683,False
50,vae_fs,0.8456125,0.8104125,0.03520000000000001,0.078125,0.15625,False
